release_date,sentiment_analysis,item_name
1998,0,Half-Life
1998,0,Half-Life
1998,1,Half-Life
1998,1,Half-Life
1998,0,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,0,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
1998,2,Half-Life
2006,2,The Ship
2006,1,The Ship
2006,2,The Ship
2006,0,The Ship
2006,2,The Ship
2006,2,The Ship
2006,2,The Ship
2006,1,The Ship
2006,0,The Ship
2006,1,The Ship
2006,0,DEFCON
2006,2,DEFCON
2006,2,DEFCON
2006,1,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,1,Garry's Mod
2006,0,Garry's Mod
2006,0,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,1,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,1,Garry's Mod
2006,1,Garry's Mod
2006,0,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
2006,1,Garry's Mod
2006,2,Garry's Mod
2006,2,Garry's Mod
